id,nset1,nset2,nset3,nset4,nset5,nset6,nset7,nset8,nset9,nset10,nset11,nset12,mset1,mset2,mset3,mset4,mset5,mset6,mset7,mset8,mset9,mset10,mset11,mset12,TotAmt,TotTrans
33538,0,0.316,0,0.263,0.211,0,0,0,0,0.158,0,0,0,0.38,0,0.429,0.09,0,0,0,0,0.03,0,0,368366.08,19
33542,0,0.44,0.2,0.12,0,0.16,0.08,0,0,0,0,0,0,0.608,0.108,0.131,0,0.1,0.052,0,0,0,0,0,682476.1,25
33557,0,0,0,0,0.286,0.714,0,0,0,0,0,0,0,0,0,0,0.15,0.85,0,0,0,0,0,0,320047.04,7
33568,0,0.143,0.143,0,0,0,0,0,0,0.286,0.429,0,0,0.029,0.013,0,0,0,0,0,0,0.019,0.94,0,3844022.13,7
33598,0,0,0,0,0,0.857,0.143,0,0,0,0,0,0,0,0,0,0,0.808,0.192,0,0,0,0,0,86829.38,7
33599,0.077,0.115,0.115,0,0.039,0.039,0.115,0.115,0.077,0,0,0,0.017,0.211,0.048,0,0.038,0.009,0.22,0.063,0.001,0,0,0,1930384.35,26
33610,0,0,0.087,0.261,0,0.044,0.044,0,0,0.522,0,0.044,0,0,0.396,0.008,0,0.036,0.006,0,0,0.398,0,0.156,191496.09,23
33612,0,0,0,0.625,0,0,0,0.125,0,0,0,0,0,0,0,0.475,0,0,0,0.5,0,0,0,0,44015.94,8
33622,0,0.487,0.077,0,0.026,0,0.026,0.051,0,0,0,0,0,0.485,0.081,0,0.014,0,0.025,0.014,0,0,0,0,814058.83,39
33638,0,0.069,0,0.035,0,0.138,0,0,0.31,0.379,0,0.035,0,0.071,0,0.031,0,0.298,0,0,0.501,0.009,0,0.02,762338.38,29
33640,0,0.333,0,0.5,0,0,0.167,0,0,0,0,0,0,0.709,0,0.165,0,0,0.126,0,0,0,0,0,114132.05,6
33645,0,0.441,0.029,0.088,0.059,0.088,0.059,0.177,0,0,0.059,0,0,0.337,0.042,0.177,0.008,0.021,0.007,0.027,0,0,0.382,0,129382.71,34
33660,0.039,0.157,0.02,0.49,0,0,0.02,0.078,0.118,0,0,0.039,0.003,0.364,0.03,0.103,0,0,0.009,0.023,0.148,0,0,0.038,1356139.91,51
33663,0,0.195,0,0.342,0.024,0,0.049,0.049,0.024,0.293,0,0,0,0.042,0,0.524,0,0,0.04,0.001,0.001,0.392,0,0,738459.69,41
33671,0,0,0.077,0.846,0,0,0.077,0,0,0,0,0,0,0,0.058,0.909,0,0,0.033,0,0,0,0,0,727398.17,13
33673,0,0,0,0.429,0.071,0,0,0,0,0,0.357,0,0,0,0,0.007,0.083,0,0,0,0,0,0.705,0,1733510.68,28
33674,0,0.962,0,0,0.039,0,0,0,0,0,0,0,0,0.925,0,0,0.075,0,0,0,0,0,0,0,269115.43,26
33675,0,0.154,0,0.615,0,0.077,0,0,0.154,0,0,0,0,0.351,0,0.517,0,0.059,0,0,0.074,0,0,0,100682.92,13
33684,0,0,0,0.375,0,0,0,0.188,0,0.313,0,0,0,0,0,0.709,0,0,0,0.071,0,0.045,0,0,498614.59,32
33701,0,0,0.143,0,0,0.143,0,0,0,0.714,0,0,0,0,0.238,0,0,0.431,0,0,0,0.332,0,0,36301.81,7
33704,0,0.217,0.087,0.261,0.044,0.044,0,0,0,0,0,0,0,0.214,0.233,0.005,0.054,0.118,0,0,0,0,0,0,222708.55,23
33710,0,0,0,0,0,0,0.091,0.636,0.046,0,0,0,0,0,0,0,0,0,0.763,0.182,0.001,0,0,0,592934.25,22
33724,0,0,0,0.28,0,0.04,0,0,0.24,0.4,0,0.04,0,0,0,0.171,0,0.023,0,0,0.368,0.347,0,0.092,452581.41,25
33728,0,0.133,0.2,0.033,0.167,0,0.033,0,0,0.433,0,0,0,0.224,0.253,0.015,0.116,0,0.027,0,0,0.365,0,0,1422598.94,30
33729,0,0.273,0.091,0,0,0.091,0,0,0,0,0,0,0,0.297,0.064,0,0,0.058,0,0,0,0,0,0,1299696.41,11
33734,0,0,0,0,0,0,0,0.667,0,0.167,0,0,0,0,0,0,0,0,0,0.397,0,0.139,0,0,90512.36,6
33735,0,0,0,0.16,0,0,0,0,0,0.827,0.013,0,0,0,0,0.201,0,0,0,0,0,0.321,0.478,0,1555270.21,75
33749,0,0.235,0.765,0,0,0,0,0,0,0,0,0,0,0.047,0.953,0,0,0,0,0,0,0,0,0,2368963.85,17
33766,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0.491,0,0,0,0,0,0,0,0,0,0,26689.21,6
33771,0,0,0.046,0,0.409,0.091,0,0.136,0.046,0,0,0,0,0,0,0,0.616,0.032,0,0.011,0.001,0,0,0,292035.45,22
33777,0,0.1,0.05,0.05,0,0.6,0,0.1,0.05,0,0,0,0,0.158,0.091,0.018,0,0.63,0,0.093,0.002,0,0,0,1109312.17,20
33784,0,0,0.286,0.429,0,0,0,0,0,0,0,0,0,0,0.423,0.228,0,0,0,0,0,0,0,0,297664.26,7
33796,0,0.429,0.571,0,0,0,0,0,0,0,0,0,0,0.376,0.624,0,0,0,0,0,0,0,0,0,263757.09,7
33815,0,0.444,0,0.111,0,0,0,0,0,0,0,0,0,0.124,0,0.059,0,0,0,0,0,0,0,0,271749.09,9
33818,0,0,0,0.318,0.028,0,0.037,0.206,0,0,0.112,0,0,0,0,0.241,0.015,0,0.021,0.059,0,0,0.433,0,6544484.89,107
33824,0,0.643,0.357,0,0,0,0,0,0,0,0,0,0,0.49,0.51,0,0,0,0,0,0,0,0,0,108898.4,14
